;;BK Mladá Boleslav;0;"ST 11. 11.
(0:0, 0:0, 0:0 - 0:0 - 0:1)";1;"S
PSG Zlín";
;;Mountfield HK;3;"ÚT 08. 12.
(1:1, 1:1, 1:1 - 0:1)";4;"
Bílí Tygři Liberec";
;;HC Kometa Brno;1;"ÚT 15. 12.
(0:1, 1:1, 0:1)";3;"
HC VERVA Litvínov";
;"18. kolo
";;;;;;
;;HC VÍTKOVICE STEEL;7;"PÁ 13. 11.
(3:0, 3:0, 1:0)";0;"
HC Oceláři Třinec";
;;HC Olomouc;1;"PÁ 13. 11.
(1:1, 0:2, 0:1)";4;"
HC Kometa Brno";
;;HC VERVA Litvínov;1;"PÁ 13. 11.
(1:2, 0:1, 0:0)";3;"
HC Škoda Plzeň";
;;PSG Zlín;2;"PÁ 13. 11.
(0:0, 1:1, 0:0 - 0:0 - 1:0)";1;"S
Piráti Chomutov";
;;Mountfield HK;2;"PÁ 13. 11.
(0:2, 2:2, 0:1)";5;"
HC Sparta Praha";
;;HC Energie Karlovy Vary;3;"PÁ 13. 11.
(0:1, 1:1, 2:0)";2;"
HC Dynamo Pardubice";
;;Bílí Tygři Liberec;6;"PÁ 13. 11.
(1:0, 3:3, 2:1)";4;"
BK Mladá Boleslav";
;"19. kolo
";;;;;;
;;HC Sparta Praha;2;"ÚT 20. 10.
(1:0, 1:1, 0:1 - 0:0 - 0:1)";3;"S
HC VERVA Litvínov";
;;HC Dynamo Pardubice;2;"NE 15. 11.
(1:2, 1:0, 0:1)";3;"
PSG Zlín";
;;HC Škoda Plzeň;3;"NE 15. 11.
(1:0, 1:0, 1:2)";2;"
HC VÍTKOVICE STEEL";
;;HC Oceláři Třinec;2;"NE 15. 11.
(0:0, 2:2, 0:0 - 0:1)";3;"
Bílí Tygři Liberec";
;;Piráti Chomutov;2;"NE 15. 11.
(1:0, 0:0, 1:0)";0;"
HC Olomouc";
;;BK Mladá Boleslav;4;"NE 15. 11.
(1:0, 1:2, 1:1 - 1:0)";3;"
HC Energie Karlovy Vary";
;;HC Kometa Brno;5;"ÚT 24. 11.
(2:1, 2:0, 1:0)";1;"
Mountfield HK";
;"20. kolo
";;;;;;
;;HC VÍTKOVICE STEEL;4;"ÚT 17. 11.
(1:1, 0:3, 3:1)";5;"
HC Dynamo Pardubice";
;;HC Energie Karlovy Vary;2;"ÚT 17. 11.
(0:1, 1:1, 1:2)";4;"
Piráti Chomutov";
;;HC Olomouc;3;"ÚT 17. 11.
(2:1, 0:1, 1:0)";2;"
PSG Zlín";
;;HC Oceláři Třinec;1;"ÚT 17. 11.
(0:0, 1:0, 0:1 - 0:1)";2;"
Mountfield HK";
;;HC Škoda Plzeň;1;"ÚT 17. 11.
(1:0, 0:0, 0:0)";0;"
HC Kometa Brno";
;;BK Mladá Boleslav;5;"ÚT 17. 11.
(2:2, 2:1, 1:0)";3;"
HC VERVA Litvínov";
;;HC Sparta Praha;5;"ST 18. 11.
(0:0, 3:2, 1:2 - 0:0 - 1:0)";4;"S
Bílí Tygři Liberec";
;"21. kolo
";;;;;;
